date,status_of_system,latitude,longitude,max_sustained_wind,central_pressure,,,,,,,,,,,,,
18511019,TS,40.2N,71.8W,50,,,,,,,,,,,,,,
18511019,TS,41.1N,71.7W,50,,,,,,,,,,,,,,
18511019,TS,42.0N,71.6W,40,,,,,,,,,,,,,,
18520819,TS,20.5N,67.1W,60,,,,,,,,,,,,,,
18520819,TS,20.7N,68.0W,60,,,,,,,,,,,,,,
18520819,TS,20.9N,68.8W,60,,,,,,,,,,,,,,
18520819,TS,21.1N,69.6W,60,,,,,,,,,,,,,,
18520820,HU,21.2N,70.6W,70,,,,,,,,,,,,,,
18520820,HU,21.5N,71.9W,70,,,,,,,,,,,,,,
18520820,HU,21.7N,73.0W,70,,,,,,,,,,,,,,
18520820,HU,21.9N,74.0W,70,,,,,,,,,,,,,,
18520821,HU,22.1N,74.9W,80,,,,,,,,,,,,,,
18520821,HU,22.2N,76.1W,80,,,,,,,,,,,,,,
18520821,HU,22.6N,77.1W,80,,,,,,,,,,,,,,
18520821,HU,22.9N,78.1W,80,,,,,,,,,,,,,,
18520822,HU,23.2N,79.3W,90,,,,,,,,,,,,,,
18520822,HU,23.5N,80.1W,90,,,,,,,,,,,,,,
18520822,HU,23.8N,81.1W,90,,,,,,,,,,,,,,
18520822,HU,24.2N,82.1W,90,,,,,,,,,,,,,,
18520823,HU,24.7N,83.1W,90,,,,,,,,,,,,,,
18520823,HU,25.2N,83.9W,90,,,,,,,,,,,,,,
18520823,HU,25.7N,84.6W,90,,,,,,,,,,,,,,
18520823,HU,26.2N,85.3W,90,,,,,,,,,,,,,,
18520824,HU,26.7N,86.0W,100,,,,,,,,,,,,,,
18520824,HU,27.2N,86.6W,100,,,,,,,,,,,,,,
18520824,HU,27.7N,87.1W,100,,,,,,,,,,,,,,
18520824,HU,28.2N,87.5W,100,,,,,,,,,,,,,,
18520825,HU,28.6N,87.8W,100,,,,,,,,,,,,,,
18520825,HU,28.8N,88.0W,100,,,,,,,,,,,,,,
18520825,HU,29.1N,88.2W,100,,,,,,,,,,,,,,
18520825,HU,29.4N,88.4W,100,,,,,,,,,,,,,,
18520826,HU,29.8N,88.6W,100,,,,,,,,,,,,,,
18520826,HU,30.2N,88.6W,100,961,,,,,,,,,,,,,
18520826,HU,30.6N,88.5W,90,,,,,,,,,,,,,,
18520826,HU,31.2N,88.1W,70,,,,,,,,,,,,,,
18520827,TS,31.8N,87.4W,50,,,,,,,,,,,,,,
18520827,TS,32.3N,86.3W,40,,,,,,,,,,,,,,
18520827,TS,32.8N,84.8W,40,,,,,,,,,,,,,,
18520827,TS,33.2N,82.8W,40,,,,,,,,,,,,,,
18520828,TS,33.5N,80.5W,40,,,,,,,,,,,,,,
18520828,TS,33.8N,78.2W,40,,,,,,,,,,,,,,
18520828,TS,34.0N,76.0W,40,,,,,,,,,,,,,,
18520828,TS,34.4N,74.2W,40,,,,,,,,,,,,,,
18520829,TS,35.2N,72.8W,50,,,,,,,,,,,,,,
18520829,TS,36.4N,71.8W,50,,,,,,,,,,,,,,
18520829,TS,38.0N,70.8W,50,,,,,,,,,,,,,,
18520829,TS,39.6N,69.6W,50,,,,,,,,,,,,,,
18520830,TS,41.0N,68.0W,50,,,,,,,,,,,,,,
18520905,HU,17.0N,64.1W,70,,,,,,,,,,,,,,
18520905,HU,17.4N,65.1W,70,,,,,,,,,,,,,,
18520905,HU,17.7N,66.1W,70,,,,,,,,,,,,,,
18520905,TS,18.2N,67.1W,60,,,,,,,,,,,,,,
18520906,TS,18.6N,68.8W,60,,,,,,,,,,,,,,
18520906,TS,19.2N,70.1W,50,,,,,,,,,,,,,,
18520906,TS,19.5N,71.4W,40,,,,,,,,,,,,,,
18520906,TS,19.7N,72.5W,40,,,,,,,,,,,,,,
18520909,HU,26.4N,90.4W,70,,,,,,,,,,,,,,
18520909,HU,26.5N,89.6W,70,,,,,,,,,,,,,,
18520909,HU,26.6N,88.8W,70,,,,,,,,,,,,,,
18520909,HU,26.6N,88.1W,70,,,,,,,,,,,,,,
18520910,HU,26.8N,87.4W,70,,,,,,,,,,,,,,
18520910,HU,26.9N,86.6W,70,,,,,,,,,,,,,,
18520910,HU,27.1N,86.1W,70,,,,,,,,,,,,,,
18520910,HU,27.3N,85.6W,70,,,,,,,,,,,,,,
18520911,HU,27.5N,85.1W,70,,,,,,,,,,,,,,
18520911,HU,27.7N,84.6W,70,,,,,,,,,,,,,,
18520911,HU,27.8N,84.0W,70,,,,,,,,,,,,,,
18520911,HU,27.9N,83.4W,70,,,,,,,,,,,,,,
18520912,HU,28.0N,82.8W,70,,,,,,,,,,,,,,
18520912,TS,28.1N,82.2W,60,,,,,,,,,,,,,,
18520912,TS,28.2N,81.5W,50,,,,,,,,,,,,,,
18520912,TS,28.5N,80.5W,50,,,,,,,,,,,,,,
18520913,TS,29.2N,79.0W,60,,,,,,,,,,,,,,
18520913,HU,30.4N,77.0W,70,,,,,,,,,,,,,,
18520913,HU,32.0N,74.5W,70,,,,,,,,,,,,,,
18520913,HU,34.0N,71.5W,70,,,,,,,,,,,,,,
18520922,TS,16.1N,58.5W,50,,,,,,,,,,,,,,
18520922,TS,16.4N,59.1W,50,,,,,,,,,,,,,,
18520922,TS,16.7N,59.7W,50,,,,,,,,,,,,,,
18520922,TS,17.0N,60.3W,50,,,,,,,,,,,,,,
18520923,TS,17.4N,61.2W,60,,,,,,,,,,,,,,
18520923,TS,17.7N,62.2W,60,,,,,,,,,,,,,,
18520923,HU,18.1N,63.1W,70,,,,,,,,,,,,,,
18520923,HU,18.4N,63.7W,70,,,,,,,,,,,,,,
18520924,HU,18.7N,64.3W,70,,,,,,,,,,,,,,
18520924,HU,18.9N,65.0W,70,,,,,,,,,,,,,,
18520924,HU,19.1N,65.8W,70,,,,,,,,,,,,,,
18520924,HU,19.2N,66.6W,70,,,,,,,,,,,,,,
18520925,HU,19.5N,67.4W,80,,,,,,,,,,,,,,
18520925,HU,19.7N,68.1W,80,,,,,,,,,,,,,,
