Date,Actual,Forecast
2012-10-16,29.5,
2012-10-17,31.6,
2012-10-17,34.0,
2012-10-17,36.5,
2012-10-17,38.8,
2012-10-18,41.3,
2012-10-18,43.4,
2012-10-18,45.2,
2012-10-18,47.0,
2012-10-19,49.2,
2012-10-19,51.0,
2012-10-19,53.0,
2012-10-19,55.0,
2012-10-20,56.5,
2012-10-20,56.0,
2012-10-20,53.1,
2012-10-20,50.8,
2012-10-21,49.7,
2012-10-21,49.2,
2012-10-21,48.2,
2012-10-21,47.0,
2012-10-22,45.5,
2012-10-22,43.9,
2012-10-22,41.9,
2012-10-22,40.0,
2012-10-23,39.2,
2012-10-23,39.5,
2012-10-23,39.8,
2012-10-23,40.5,
2012-10-24,41.2,
2012-10-24,41.6,
2012-10-24,42.1,
2012-10-24,41.9,
2012-10-25,41.6,
2012-10-25,41.3,
2012-10-25,41.0,
2012-10-25,40.9,
2012-10-26,40.7,
2012-10-26,40.3,
2012-10-26,40.0,
2012-10-21,14.3,
2012-10-22,13.9,
2012-10-22,13.5,
2012-10-22,13.1,
2012-10-22,12.7,
2012-10-23,12.6,
2012-10-23,12.9,
2012-10-23,13.4,
2012-10-23,14.0,
2012-10-24,14.7,
2012-10-24,15.6,
2012-10-24,16.6,
2012-10-24,17.7,
2012-10-24,17.9,
2012-10-25,18.9,
2012-10-25,20.0,
2012-10-25,20.1,
2012-10-25,20.9,
2012-10-25,21.7,
2012-10-25,23.3,
2012-10-26,24.8,
2012-10-26,25.7,
2012-10-26,26.4,
2012-10-26,27.0,
2012-10-27,27.5,
2012-10-27,28.1,
2012-10-27,28.8,
2012-10-27,29.7,
2012-10-28,30.5,
2012-10-28,31.3,
2012-10-28,32.0,
2012-10-28,32.8,
2012-10-29,33.9,
2012-10-29,35.3,
2012-10-29,36.9,
2012-10-29,38.3,
2012-10-29,38.8,
2012-10-29,39.4,
2012-10-30,39.5,
2012-10-30,39.9,
2012-10-30,40.1,
2012-10-30,40.4,
2012-10-31,40.7,
2012-10-31,41.1,
2012-10-31,41.5,
